№ вопроса,Блок,Применимость,Исходный номер,Основной раздел,Вопрос,Ответ 1,Ответ 2,Ответ 3,Правильный вариант,Правильный ответ,Все группы вопроса,Примечание
246.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.41,Правовая подготовка,Требования к условиям хранения различных видов гражданского и служебного оружия и патронов к нему определяются:,Федеральной службой войск национальной гвардии Российской Федерации.,Президентом Российской Федерации.,Правительством Российской Федерации.,3,Правительством Российской Федерации.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения",
247.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.42,Правовая подготовка,Относится ли ствольная коробка и рамка к основным частям огнестрельного оружия?,Ствольная коробка и рамка к основным частям огнестрельного оружия не относятся.,Ствольная коробка и рамка являются основным частям огнестрельного оружия.,К основным частям огнестрельного оружия относится только ствольная коробка.,2,Ствольная коробка и рамка являются основным частям огнестрельного оружия.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / применение физической силы, спецсредств и оружия; Право / оружие: выдача, хранение, ношение, ограничения",
248.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.43,Правовая подготовка,"Верно ли, что различие оружия на гражданское, служебное, боевое ручное стрелковое и холодное, осуществляется по целям его использования, параметрам и характеристикам?","Различие оружия на гражданское, служебное, боевое ручное стрелковое и холодное осуществляется по принадлежности его организациям, назначению и способам производства, и техническим характеристикам.","Различие оружия на гражданское, служебное, боевое ручное стрелковое и холодное, осуществляется по целям его использования, параметрам и характеристикам.","Оружие по целям его использования, параметрам и характеристикам различается на длинноствольное, короткоствольное и бесствольное.",2,"Различие оружия на гражданское, служебное, боевое ручное стрелковое и холодное, осуществляется по целям его использования, параметрам и характеристикам.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения",
249.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.44,Правовая подготовка,Какое оружие относится к гражданскому оружию самообороны?,Искровые разрядники и электрошоковые устройства отечественного производства.,Искровые разрядники и электрошоковые устройства иностранного производства.,"Искровые разрядники и электрошоковые устройства иностранного производства, имеющие соответствующий сертификат качества.",1,Искровые разрядники и электрошоковые устройства отечественного производства.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения",
250.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.45,Правовая подготовка,"Относятся ли аэрозольные устройства и механические распылители, снаряженные слезоточивым веществом, к оружию самообороны?","Аэрозольные устройства и механические распылители, снаряженные слезоточивым веществом, относятся к оружию самообороны.","Механические распылители, снаряженные слезоточивым веществом, не относятся к оружию самообороны.","К оружию самообороны относятся только механические распылители, снаряженные слезоточивым веществом.",1,"Аэрозольные устройства и механические распылители, снаряженные слезоточивым веществом, относятся к оружию самообороны.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения",
251.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.46,Правовая подготовка,Должно ли гражданское огнестрельное оружие соответствовать следующим требованиям - исключать ведение огня очередями и иметь емкость магазина (барабана) не более 10 патронов?,В случае использования гражданского оружия в качестве служебного оружия из него допускается ведение огня очередями.,"Допускается емкость магазина более 10 патронов, если гражданское оружие используется как служебное оружие.",Гражданское оружие должно соответствовать указанным в вопросе требованиям.,3,Гражданское оружие должно соответствовать указанным в вопросе требованиям.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / применение физической силы, спецсредств и оружия; Право / оружие: выдача, хранение, ношение, ограничения",
252.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.47,Правовая подготовка,Должно ли служебное оружие отличаться от боевого ручного стрелкового оружия по типам патронов?,Для служебного и боевого ручного стрелкового оружия могут использоваться патроны одного типа.,Нарезное служебное оружие должно иметь отличия от боевого ручного стрелкового оружия по типам и размерам патрона.,"При стрельбе из служебного оружия и боевого ручного стрелкового оружия могут использоваться патроны одного типа, но при этом они должны различаться по следообразованию на гильзе.",2,Нарезное служебное оружие должно иметь отличия от боевого ручного стрелкового оружия по типам и размерам патрона.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения",
253.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.48,Правовая подготовка,"Возможно ли из служебного оружия, при емкости магазина не более 5 патронов, ведение огня очередями?",Служебное оружие должно исключать ведение огня очередями.,"Из служебного оружия, возможно ведение огня очередями только при емкости магазина более 10 патронов.",Допускается ведение огня очередями только из нарезного служебного оружия.,1,Служебное оружие должно исключать ведение огня очередями.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения",
254.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.49,Правовая подготовка,"Может ли служебное оружие, в котором исключена возможность ведения огня очередями, иметь магазин емкостью в 15 патронов?",Емкость магазина служебного оружия более 10 патронов допускается.,Емкость магазина служебного оружия должна быть не более 10 патронов.,Служебное оружие должно иметь магазин не более 5 патронов.,2,Емкость магазина служебного оружия должна быть не более 10 патронов.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения",
255.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.50,Правовая подготовка,"Запрещается ли на территории Российской Федерации оборот гражданского огнестрельного оружия, имитирующего другие предметы?","На территории Российской Федерации оборот гражданского оружия, которое имитирует другие предметы не запрещается.","На территории Российской Федерации запрещается оборот в качестве гражданского оружия огнестрельного оружия, которое имеет форму, имитирующую другие предметы.","На территории Российской Федерации разрешается оборот гражданского оружия, которое имитирует другие предметы, при условии, что это гражданское оружие состоит на вооружение юридического лица с особыми уставными задачами.",2,"На территории Российской Федерации запрещается оборот в качестве гражданского оружия огнестрельного оружия, которое имеет форму, имитирующую другие предметы.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / применение физической силы, спецсредств и оружия; Право / оружие: выдача, хранение, ношение, ограничения",
256.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.51,Правовая подготовка,"Запрещается ли на территории Российской Федерации оборот газового оружия, снаряженного нервно-паралитическими и отравляющими веществами?","На территории Российской Федерации оборот газового оружия, снаряженного нервно-паралитическими, отравляющими, а также другими веществами, не разрешенными к применению федеральным органом исполнительной власти, осуществляющим функции по выработке государственной политики и нормативно-правовому регулированию в сфере здравоохранения запрещен.","На территории Российской Федерации запрещен оборот газового оружия только снаряженного нервно-паралитическими и отравляющими веществами, которые запрещаются к применению федеральным органом исполнительной власти в сфере внутренних дел.","На территории Российской Федерации оборот газового оружия, снаряженного нервно-паралитическими и другими отравляющими веществами разрешен в том случае, если это оружие состоит на вооружении юридического лица с особыми уставными задачами.",1,"На территории Российской Федерации оборот газового оружия, снаряженного нервно-паралитическими, отравляющими, а также другими веществами, не разрешенными к применению федеральным органом исполнительной власти, осуществляющим функции по выработке государственной политики и нормативно-правовому регулированию в сфере здравоохранения запрещен.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения",
257.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.52,Правовая подготовка,Запрещается ли на территории Российской Федерации установка на гражданском и служебном оружии приспособлений для бесшумной стрельбы?,Установка на гражданском и служебном оружии приспособлений для бесшумной стрельбы запрещена.,Установка на гражданском и служебном оружии приспособлений для бесшумной стрельбы допускается при наличии соответствующих разрешений.,На территории Российской Федерации установка приспособлений для бесшумной стрельбы разрешена только на служебном оружии.,1,Установка на гражданском и служебном оружии приспособлений для бесшумной стрельбы запрещена.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения",
258.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.53,Правовая подготовка,"Запрещается ли на территории Российской Федерации использование патронов к служебному оружию с пулями бронебойного, зажигательного, разрывного или трассирующего действия?","На территории Российской Федерации использование патронов к служебному оружию с пулями бронебойного, зажигательного, разрывного или трассирующего действия допускается только в том случае, если эти патроны используются юридическими лицами с особыми уставными задачами при пресечении массовых беспорядков.","На территории Российской Федерации использование патронов к служебному оружию с пулями бронебойного, зажигательного, разрывного или трассирующего действия запрещено.","На территории Российской Федерации использование патронов к служебному оружию с пулями бронебойного, зажигательного, разрывного или трассирующего действия разрешается при пресечении тяжкого преступления.",2,"На территории Российской Федерации использование патронов к служебному оружию с пулями бронебойного, зажигательного, разрывного или трассирующего действия запрещено.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения",
259.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.54,Правовая подготовка,"Запрещается ли на территории Российской Федерации оборот кистеней, кастетов, сурикенов, бумерангов и других специально приспособленных для использования в качестве оружия предметов ударно-дробящего и метательного действия?","На территории Российской Федерации оборот кистеней, кастетов, сурикенов, бумерангов и других, специально приспособленных для использования в качестве оружия предметов ударно-дробящего и метательного действия, за исключением спортивных снарядов, запрещен.","На территории Российской Федерации оборот кистеней, кастетов, сурикенов, бумерангов и других, специально приспособленных для использования в качестве оружия предметов ударно-дробящего и метательного действия, допускается, если перечисленные предметы используются в качестве гражданского и служебного оружия.","На территории Российской Федерации оборот кистеней, кастетов, сурикенов, бумерангов и других, специально приспособленных для использования в качестве оружия предметов ударно-дробящего и метательного действия, допускается только при условии использования перечисленных предметов работниками юридического лица с особыми уставными задачами при исполнении ими служебных обязанностей.",1,"На территории Российской Федерации оборот кистеней, кастетов, сурикенов, бумерангов и других, специально приспособленных для использования в качестве оружия предметов ударно-дробящего и метательного действия, за исключением спортивных снарядов, запрещен.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / применение физической силы, спецсредств и оружия; Право / оружие: выдача, хранение, ношение, ограничения",
260.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.55,Правовая подготовка,"Какое оружие могут иметь при себе граждане Российской Федерации, участвующие в проведении митингов, уличных шествий, демонстраций, пикетирования и других массовых публичных мероприятий?","При проведении митингов, уличных шествий, демонстраций, пикетирования и других массовых публичных мероприятий граждане могут иметь при себе только холодное оружие.","При проведении митингов, уличных шествий, демонстраций, пикетирования и других массовых публичных мероприятий граждане могут иметь при себе гражданское или холодное оружие.","При проведении митингов, уличных шествий, демонстраций, пикетирования и других массовых публичных мероприятий ношение гражданами оружия запрещено.",3,"При проведении митингов, уличных шествий, демонстраций, пикетирования и других массовых публичных мероприятий ношение гражданами оружия запрещено.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения",
261.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.56,Правовая подготовка,"Запрещается ли на территории Российской Федерации ношение аэрозольных устройств, снаряженных слезоточивыми веществами при проведении уличных шествий, демонстраций, митингов и других массовых публичных мероприятий?","На территории Российской Федерации ношение аэрозольных устройств, снаряженных слезоточивыми веществами при проведении уличных шествий, демонстраций, митингов и других массовых публичных мероприятий запрещается.","На территории Российской Федерации ношение аэрозольных устройств, снаряженных слезоточивыми веществами при проведении уличных шествий, демонстраций, митингов и других массовых публичных мероприятий разрешается при условии возможных массовых беспорядков.","На территории Российской Федерации ношение аэрозольных устройств, снаряженных слезоточивыми веществами при проведении уличных шествий, демонстраций, митингов и других массовых публичных мероприятий разрешается работникам юридического лица с особыми уставными задачами, если они привлекаются органами внутренних дел к охране общественного порядка при проведении указанных мероприятий.",1,"На территории Российской Федерации ношение аэрозольных устройств, снаряженных слезоточивыми веществами при проведении уличных шествий, демонстраций, митингов и других массовых публичных мероприятий запрещается.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения",
262.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.57,Правовая подготовка,"Разрешается ли на территории Российской Федерации ношение электрошоковых устройств отечественного производства при проведении демонстраций, пикетирования, уличных шествий или иных массовых публичных мероприятий?","На территории Российской Федерации ношение электрошоковых устройств отечественного производства при проведении уличных шествий, демонстраций, митингов и других массовых публичных мероприятий запрещается.","На территории Российской Федерации ношение электрошоковых устройств отечественного производства при проведении уличных шествий, демонстраций, митингов и других массовых публичных мероприятий разрешается при условии возможного возникновения массовых беспорядков.","На территории Российской Федерации при проведении уличных шествий, демонстраций, митингов и других массовых публичных мероприятий разрешается ношение электрошоковых устройств импортного производства только при условии возможного возникновения массовых беспорядков и предварительного согласования с органами внутренних дел.",1,"На территории Российской Федерации ношение электрошоковых устройств отечественного производства при проведении уличных шествий, демонстраций, митингов и других массовых публичных мероприятий запрещается.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения; Спецсредства / электрошоковые устройства",
263.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.58,Правовая подготовка,Запрещается ли работнику юридического лица с особыми уставными задачами приобретение огнестрельного оружия на основании разрешения на хранение и ношение служебного оружия?,Работник юридического лица с особыми уставными задачами на основании разрешения на хранение и ношение служебного оружия может приобрести гладкоствольного охотничьего и газовое оружие.,Работнику юридического лица с особыми уставными задачами приобретение служебного оружия на основании разрешения на хранение и ношение служебного оружия запрещено.,Работнику юридического лица с особыми уставными задачами на основании разрешения на хранение и ношение служебного оружия разрешается приобретать служебное оружие.,2,Работнику юридического лица с особыми уставными задачами приобретение служебного оружия на основании разрешения на хранение и ношение служебного оружия запрещено.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / применение физической силы, спецсредств и оружия; Право / оружие: выдача, хранение, ношение, ограничения",
264.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.59,Правовая подготовка,"В соответствии с Федеральным законом «Об оружии» лицензии на приобретение, а также разрешения на хранение или хранение и ношение оружия аннулируются органами, выдавшими эти лицензии или разрешения, в случаях:","В случае добровольного отказа от указанных лицензии и (или) разрешения, либо прекращения (отсутствия) у юридического лица права на приобретение (хранение, использование) оружия, либо ликвидации юридического лица, либо смерти собственника оружия.","В случаях если органы, имеющие право на выдачу лицензий на приобретение или разрешений на хранение или хранение и ношение оружия, приняли решение об их аннулировании.",В случае если имеется представление прокуратуры Российской Федерации о необходимости принятия дополнительных мер по повышению технической укрепленности мест хранения оружия и патронов к нему.,1,"В случае добровольного отказа от указанных лицензии и (или) разрешения, либо прекращения (отсутствия) у юридического лица права на приобретение (хранение, использование) оружия, либо ликвидации юридического лица, либо смерти собственника оружия.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения; Право / ответственность и санкции",
265.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.60,Правовая подготовка,По истечении скольких лет после аннулирования разрешения на хранение и ношение оружия возможно повторное обращение за его получением?,Трех лет со дня их аннулирования.,Пяти лет со дня их аннулирования.,Одного года со дня их аннулирования.,1,Трех лет со дня их аннулирования.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / оружие: выдача, хранение, ношение, ограничения; Право / ответственность и санкции",
266.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.61,Правовая подготовка,В соответствии с действующим законодательством при необходимой обороне допускается причинение вреда:,Посягающему лицу.,Третьим лицам.,"Как посягающему лицу, так и третьим лицам.",1,Посягающему лицу.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / необходимая оборона, крайняя необходимость, задержание",
267.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.62,Правовая подготовка,"При необходимой обороне субъектом посягательства, отражаемого обороняющимся, является:",Человек (физическое лицо).,Стихия (силы природы).,"Источник повышенной опасности (оружие, автомобиль и пр.).",1,Человек (физическое лицо).,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / необходимая оборона, крайняя необходимость, задержание",
268.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.63,Правовая подготовка,Могут ли действия работника юридического лица с особыми уставными задачами по защите жизни и здоровья другого лица расцениваться как действия в состоянии необходимой обороны:,Не могут ни при каких условиях.,"Могут, если соблюдены условия необходимой обороны, предусмотренные законом.","Могут, только если при указанном лице находилось охраняемое имущество.",2,"Могут, если соблюдены условия необходимой обороны, предусмотренные законом.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / необходимая оборона, крайняя необходимость, задержание",
269.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.64,Правовая подготовка,Допускается ли причинение вреда третьим лицам в состоянии необходимой обороны?,Допускается при групповом нападении.,Допускается при вооруженном нападении.,Причинение вреда третьим лицам в состоянии необходимой обороны не допускается.,3,Причинение вреда третьим лицам в состоянии необходимой обороны не допускается.,"Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / необходимая оборона, крайняя необходимость, задержание",
270.0,Работники ЮЛ с особыми уставными задачами,ЮЛ,1.65,Правовая подготовка,"Защита от посягательства, не сопряженного с насилием, опасным для жизни обороняющегося или другого лица, либо с непосредственной угрозой применения такого насилия:",Считается неправомерной и расценивается как превышение пределов необходимой обороны.,"Считается правомерной, если при этом не было допущено превышения пределов необходимой обороны, то есть умышленных действий, явно несоответствующих характеру и опасности посягательства.",Квалифицируется как умышленное преступление.,2,"Считается правомерной, если при этом не было допущено превышения пределов необходимой обороны, то есть умышленных действий, явно несоответствующих характеру и опасности посягательства.","Все вопросы / полный банк; Работники ЮЛ / все вопросы; Работники ЮЛ с особыми уставными задачами / Правовая подготовка; Правовая подготовка / все вопросы; Право / применение физической силы, спецсредств и оружия",
